choice_time,player_id,team_id,team_name,id,index,league,pick,round,was_auto
2023-08-07T01:00:22.557411Z,355,172408,NamsArmyOfChampions,2930071,1,46331,1,1,false
2023-08-07T01:01:26.859308Z,308,275105,CRG FC,2930072,2,46331,2,1,false
2023-08-07T01:01:34.764411Z,349,292200,EnzoMatic,2930073,3,46331,3,1,false
2023-08-07T01:01:52.224038Z,500,178032,Relegation,2930074,4,46331,4,1,false
2023-08-07T01:02:04.174583Z,396,178525,Stinkcopper FC,2930075,5,46331,5,1,false
2023-08-07T01:02:57.137254Z,373,245921,Chadvera FC,2930076,6,46331,6,1,false
2023-08-07T01:03:18.584892Z,19,274742,The Pecan Sandies,2930077,7,46331,7,1,false
2023-08-07T01:03:33.275865Z,60,273160,Winnie Wunderkind,2930078,8,46331,8,1,false
2023-08-07T01:04:31.719324Z,516,172479,Weebs United,2930079,9,46331,9,1,false
2023-08-07T01:05:59.177137Z,212,218922,I <3 White Rice FC,2930080,10,46331,10,1,false
2023-08-07T01:06:55.974143Z,14,218922,I <3 White Rice FC,2930081,11,46331,1,2,false
2023-08-07T01:07:04.060344Z,290,172479,Weebs United,2930082,12,46331,2,2,false
2023-08-07T01:07:16.684817Z,12,273160,Winnie Wunderkind,2930083,13,46331,3,2,false
2023-08-07T01:07:24.671115Z,297,274742,The Pecan Sandies,2930084,14,46331,4,2,false
2023-08-07T01:08:29.184366Z,8,245921,Chadvera FC,2930085,15,46331,5,2,false
2023-08-07T01:08:32.848163Z,415,178525,Stinkcopper FC,2930086,16,46331,6,2,false
2023-08-07T01:09:12.794463Z,353,178032,Relegation,2930087,17,46331,7,2,false
2023-08-07T01:09:23.494710Z,294,292200,EnzoMatic,2930088,18,46331,8,2,false
2023-08-07T01:10:50.841493Z,354,275105,CRG FC,2930089,19,46331,9,2,false
2023-08-07T01:12:05.557191Z,433,172408,NamsArmyOfChampions,2930090,20,46331,10,2,false
2023-08-07T01:13:00.058737Z,6,172408,NamsArmyOfChampions,2930091,21,46331,1,3,false
2023-08-07T01:13:09.877236Z,211,275105,CRG FC,2930092,22,46331,2,3,false
2023-08-07T01:13:25.178943Z,307,292200,EnzoMatic,2930093,23,46331,3,3,false
2023-08-07T01:13:45.733969Z,278,178032,Relegation,2930094,24,46331,4,3,false
2023-08-07T01:14:30.375713Z,303,178525,Stinkcopper FC,2930095,25,46331,5,3,false
2023-08-07T01:14:45.619937Z,504,245921,Chadvera FC,2930096,26,46331,6,3,false
2023-08-07T01:15:54.944192Z,209,274742,The Pecan Sandies,2930097,27,46331,7,3,false
2023-08-07T01:15:59.197062Z,343,273160,Winnie Wunderkind,2930098,28,46331,8,3,false
2023-08-07T01:17:05.431557Z,399,172479,Weebs United,2930099,29,46331,9,3,false
2023-08-07T01:18:10.769196Z,216,218922,I <3 White Rice FC,2930100,30,46331,10,3,false
2023-08-07T01:19:39.414556Z,293,218922,I <3 White Rice FC,2930101,31,46331,1,4,false
2023-08-07T01:21:07.479833Z,85,172479,Weebs United,2930102,32,46331,2,4,false
2023-08-07T01:21:24.464393Z,430,273160,Winnie Wunderkind,2930103,33,46331,3,4,false
2023-08-07T01:22:49.780316Z,509,274742,The Pecan Sandies,2930104,34,46331,4,4,false
2023-08-07T01:22:53.525763Z,398,245921,Chadvera FC,2930105,35,46331,5,4,false
2023-08-07T01:22:58.973673Z,344,178525,Stinkcopper FC,2930106,36,46331,6,4,false
2023-08-07T01:24:15.988897Z,526,178032,Relegation,2930107,37,46331,7,4,false
2023-08-07T01:24:31.312158Z,372,292200,EnzoMatic,2930108,38,46331,8,4,false
2023-08-07T01:25:45.007081Z,402,275105,CRG FC,2930109,39,46331,9,4,false
2023-08-07T01:26:49.428978Z,313,172408,NamsArmyOfChampions,2930110,40,46331,10,4,false
2023-08-07T01:28:06.287818Z,143,172408,NamsArmyOfChampions,2930111,41,46331,1,5,false
2023-08-07T01:29:20.755784Z,501,275105,CRG FC,2930112,42,46331,2,5,false
2023-08-07T01:29:33.354818Z,29,292200,EnzoMatic,2930113,43,46331,3,5,false
2023-08-07T01:29:42.692979Z,140,178032,Relegation,2930114,44,46331,4,5,false
2023-08-07T01:29:49.294926Z,206,178525,Stinkcopper FC,2930115,45,46331,5,5,false
2023-08-07T01:29:55.520511Z,195,245921,Chadvera FC,2930116,46,46331,6,5,false
2023-08-07T01:31:06.673599Z,132,274742,The Pecan Sandies,2930117,47,46331,7,5,false
2023-08-07T01:31:31.370031Z,304,273160,Winnie Wunderkind,2930118,48,46331,8,5,false
2023-08-07T01:32:46.701562Z,5,172479,Weebs United,2930119,49,46331,9,5,false
2023-08-07T01:34:11.690767Z,352,218922,I <3 White Rice FC,2930120,50,46331,10,5,false
2023-08-07T01:35:32.983731Z,350,218922,I <3 White Rice FC,2930121,51,46331,1,6,false
2023-08-07T01:36:34.728594Z,368,172479,Weebs United,2930122,52,46331,2,6,false
2023-08-07T01:36:38.606401Z,31,273160,Winnie Wunderkind,2930123,53,46331,3,6,false
2023-08-07T01:37:09.799020Z,437,274742,The Pecan Sandies,2930124,54,46331,4,6,false
2023-08-07T01:38:27.331932Z,291,245921,Chadvera FC,2930125,55,46331,5,6,false
2023-08-07T01:38:39.329956Z,424,178525,Stinkcopper FC,2930126,56,46331,6,6,false
2023-08-07T01:39:11.083538Z,603,178032,Relegation,2930127,57,46331,7,6,false
2023-08-07T01:39:15.129188Z,119,292200,EnzoMatic,2930128,58,46331,8,6,false
2023-08-07T01:40:48.192787Z,117,275105,CRG FC,2930129,59,46331,9,6,true
2023-08-07T01:42:02.072486Z,20,172408,NamsArmyOfChampions,2930130,60,46331,10,6,false
2023-08-07T01:43:10.967684Z,17,172408,NamsArmyOfChampions,2930131,61,46331,1,7,false
2023-08-07T01:43:17.243932Z,585,275105,CRG FC,2930132,62,46331,2,7,false
2023-08-07T01:43:21.546539Z,131,292200,EnzoMatic,2930133,63,46331,3,7,false
2023-08-07T01:44:22.391047Z,390,178032,Relegation,2930134,64,46331,4,7,false
2023-08-07T01:44:27.545754Z,134,178525,Stinkcopper FC,2930135,65,46331,5,7,false
2023-08-07T01:45:46.363020Z,226,245921,Chadvera FC,2930136,66,46331,6,7,false
2023-08-07T01:45:57.696081Z,599,274742,The Pecan Sandies,2930137,67,46331,7,7,false
2023-08-07T01:46:14.594704Z,49,273160,Winnie Wunderkind,2930138,68,46331,8,7,false
2023-08-07T01:46:22.529555Z,108,172479,Weebs United,2930139,69,46331,9,7,false
2023-08-07T01:47:24.292477Z,447,218922,I <3 White Rice FC,2930140,70,46331,10,7,false
2023-08-07T01:48:50.006976Z,217,218922,I <3 White Rice FC,2930141,71,46331,1,8,false
2023-08-07T01:49:44.715834Z,309,172479,Weebs United,2930142,72,46331,2,8,false
2023-08-07T01:49:48.270067Z,267,273160,Winnie Wunderkind,2930143,73,46331,3,8,false
2023-08-07T01:50:01.419399Z,210,274742,The Pecan Sandies,2930144,74,46331,4,8,false
2023-08-07T01:50:11.367336Z,135,245921,Chadvera FC,2930145,75,46331,5,8,false
2023-08-07T01:50:52.629775Z,405,178525,Stinkcopper FC,2930146,76,46331,6,8,false
2023-08-07T01:51:05.322568Z,346,178032,Relegation,2930147,77,46331,7,8,false
2023-08-07T01:51:11.559089Z,369,292200,EnzoMatic,2930148,78,46331,8,8,false
2023-08-07T01:52:10.553503Z,506,275105,CRG FC,2930149,79,46331,9,8,false
2023-08-07T01:53:22.182348Z,450,172408,NamsArmyOfChampions,2930150,80,46331,10,8,false
2023-08-07T01:53:48.659248Z,197,172408,NamsArmyOfChampions,2930151,81,46331,1,9,false
2023-08-07T01:54:43.577434Z,397,275105,CRG FC,2930152,82,46331,2,9,false
2023-08-07T01:55:48.593776Z,525,292200,EnzoMatic,2930153,83,46331,3,9,false
2023-08-07T01:56:26.399951Z,427,178032,Relegation,2930154,84,46331,4,9,false
2023-08-07T01:56:37.117920Z,109,178525,Stinkcopper FC,2930155,85,46331,5,9,false
2023-08-07T01:57:57.258541Z,26,245921,Chadvera FC,2930156,86,46331,6,9,false
2023-08-07T01:58:38.449919Z,395,274742,The Pecan Sandies,2930157,87,46331,7,9,false
2023-08-07T01:58:43.256389Z,391,273160,Winnie Wunderkind,2930158,88,46331,8,9,false
2023-08-07T01:59:12.957569Z,246,172479,Weebs United,2930159,89,46331,9,9,false
2023-08-07T02:00:41.787297Z,341,218922,I <3 White Rice FC,2930160,90,46331,10,9,false
2023-08-07T02:01:33.238092Z,326,218922,I <3 White Rice FC,2930161,91,46331,1,10,false
2023-08-07T02:02:58.121003Z,35,172479,Weebs United,2930162,92,46331,2,10,false
2023-08-07T02:03:18.872852Z,51,273160,Winnie Wunderkind,2930163,93,46331,3,10,false
2023-08-07T02:03:38.893843Z,302,274742,The Pecan Sandies,2930164,94,46331,4,10,false
2023-08-07T02:04:50.950878Z,485,245921,Chadvera FC,2930165,95,46331,5,10,false
2023-08-07T02:04:55.878522Z,225,178525,Stinkcopper FC,2930166,96,46331,6,10,false
2023-08-07T02:05:48.573023Z,129,178032,Relegation,2930167,97,46331,7,10,false
2023-08-07T02:05:52.533122Z,154,292200,EnzoMatic,2930168,98,46331,8,10,false
2023-08-07T02:06:03.293764Z,377,275105,CRG FC,2930169,99,46331,9,10,false
2023-08-07T02:07:22.192173Z,407,172408,NamsArmyOfChampions,2930170,100,46331,10,10,false
2023-08-07T02:08:17.665723Z,365,172408,NamsArmyOfChampions,2930171,101,46331,1,11,false
2023-08-07T02:09:11.045046Z,187,275105,CRG FC,2930172,102,46331,2,11,false
2023-08-07T02:09:15.212107Z,236,292200,EnzoMatic,2930173,103,46331,3,11,false
2023-08-07T02:09:53.435743Z,495,178032,Relegation,2930174,104,46331,4,11,false
2023-08-07T02:10:51.223374Z,535,178525,Stinkcopper FC,2930175,105,46331,5,11,false
2023-08-07T02:10:58.816316Z,393,245921,Chadvera FC,2930176,106,46331,6,11,false
2023-08-07T02:11:22.371640Z,597,274742,The Pecan Sandies,2930177,107,46331,7,11,false
2023-08-07T02:11:48.988602Z,13,273160,Winnie Wunderkind,2930178,108,46331,8,11,false
2023-08-07T02:13:16.315638Z,520,172479,Weebs United,2930179,109,46331,9,11,false
2023-08-07T02:14:38.238278Z,34,218922,I <3 White Rice FC,2930180,110,46331,10,11,false
2023-08-07T02:16:06.208983Z,511,218922,I <3 White Rice FC,2930181,111,46331,1,12,false
2023-08-07T02:16:14.070879Z,36,172479,Weebs United,2930182,112,46331,2,12,false
2023-08-07T02:17:31.906742Z,416,273160,Winnie Wunderkind,2930183,113,46331,3,12,false
2023-08-07T02:18:09.723394Z,48,274742,The Pecan Sandies,2930184,114,46331,4,12,false
2023-08-07T02:18:29.003043Z,584,245921,Chadvera FC,2930185,115,46331,5,12,false
2023-08-07T02:18:49.938404Z,342,178525,Stinkcopper FC,2930186,116,46331,6,12,false
2023-08-07T02:19:25.915180Z,112,178032,Relegation,2930187,117,46331,7,12,false
2023-08-07T02:20:03.916811Z,523,292200,EnzoMatic,2930188,118,46331,8,12,false
2023-08-07T02:20:18.708323Z,558,275105,CRG FC,2930189,119,46331,9,12,false
2023-08-07T02:21:03.628482Z,401,172408,NamsArmyOfChampions,2930190,120,46331,10,12,false
2023-08-07T02:21:52.036721Z,113,172408,NamsArmyOfChampions,2930191,121,46331,1,13,false
2023-08-07T02:23:09.237567Z,42,275105,CRG FC,2930192,122,46331,2,13,false
2023-08-07T02:23:31.522780Z,101,292200,EnzoMatic,2930193,123,46331,3,13,false
2023-08-07T02:25:04.588121Z,55,178032,Relegation,2930194,124,46331,4,13,true
2023-08-07T02:25:15.550804Z,176,178525,Stinkcopper FC,2930195,125,46331,5,13,false
2023-08-07T02:26:45.380286Z,379,245921,Chadvera FC,2930196,126,46331,6,13,false
2023-08-07T02:26:47.714834Z,103,274742,The Pecan Sandies,2930197,127,46331,7,13,false
2023-08-07T02:27:57.967155Z,357,273160,Winnie Wunderkind,2930198,128,46331,8,13,false
2023-08-07T02:28:26.136041Z,482,172479,Weebs United,2930199,129,46331,9,13,false
2023-08-07T02:29:54.556957Z,159,218922,I <3 White Rice FC,2930200,130,46331,10,13,false
2023-08-07T02:31:19.403351Z,153,218922,I <3 White Rice FC,2930201,131,46331,1,14,false
2023-08-07T02:31:25.705282Z,288,172479,Weebs United,2930202,132,46331,2,14,false
2023-08-07T02:32:27.613692Z,275,273160,Winnie Wunderkind,2930203,133,46331,3,14,false
2023-08-07T02:32:30.330873Z,519,274742,The Pecan Sandies,2930204,134,46331,4,14,false
2023-08-07T02:32:33.162039Z,569,245921,Chadvera FC,2930205,135,46331,5,14,false
2023-08-07T02:32:37.189065Z,148,178525,Stinkcopper FC,2930206,136,46331,6,14,false
2023-08-07T02:32:37.270509Z,502,178032,Relegation,2930207,137,46331,7,14,true
2023-08-07T02:34:10.336439Z,507,292200,EnzoMatic,2930208,138,46331,8,14,true
2023-08-07T02:35:27.285376Z,281,275105,CRG FC,2930209,139,46331,9,14,false
2023-08-07T02:35:35.892127Z,540,172408,NamsArmyOfChampions,2930210,140,46331,10,14,false
2023-08-07T02:35:39.875001Z,177,172408,NamsArmyOfChampions,2930211,141,46331,1,15,false
2023-08-07T02:35:47.570220Z,263,275105,CRG FC,2930212,142,46331,2,15,false
2023-08-07T02:36:01.214136Z,152,292200,EnzoMatic,2930213,143,46331,3,15,false
2023-08-07T02:36:01.303655Z,533,178032,Relegation,2930214,144,46331,4,15,true
2023-08-07T02:36:23.873832Z,591,178525,Stinkcopper FC,2930215,145,46331,5,15,false
2023-08-07T02:36:55.780492Z,305,245921,Chadvera FC,2930216,146,46331,6,15,false
2023-08-07T02:37:07.448400Z,230,274742,The Pecan Sandies,2930217,147,46331,7,15,false
2023-08-07T02:37:35.984620Z,382,273160,Winnie Wunderkind,2930218,148,46331,8,15,false
2023-08-07T02:38:36.360431Z,228,172479,Weebs United,2930219,149,46331,9,15,false
2023-08-07T02:39:58.063566Z,77,218922,I <3 White Rice FC,2930220,150,46331,10,15,false
