week,finished,team_1_id,team_1_points,team_2_id,team_2_points,started
1,true,274589,43,173108,62,true
1,true,276210,56,247072,42,true
1,true,276578,20,219906,38,true
1,true,293899,35,179251,53,true
1,true,173181,26,178756,37,true
2,true,173108,51,173181,42,true
2,true,178756,42,293899,60,true
2,true,179251,23,276578,26,true
2,true,219906,62,276210,35,true
2,true,247072,29,274589,30,true
3,true,276210,45,173108,24,true
3,true,276578,61,274589,32,true
3,true,293899,37,247072,46,true
3,true,173181,44,219906,72,true
3,true,178756,41,179251,34,true
4,true,173108,42,178756,32,true
4,true,179251,49,173181,73,true
4,true,219906,42,293899,23,true
4,true,247072,42,276578,30,true
4,true,274589,43,276210,39,true
5,true,276578,44,173108,46,true
5,true,293899,38,276210,40,true
5,true,173181,23,274589,45,true
5,true,178756,43,247072,27,true
5,true,179251,54,219906,26,true
6,true,173108,54,179251,41,true
6,true,219906,38,178756,53,true
6,true,247072,44,173181,37,true
6,true,274589,55,293899,43,true
6,true,276210,38,276578,41,true
7,true,293899,30,173108,41,true
7,true,173181,42,276578,55,true
7,true,178756,59,276210,47,true
7,true,179251,29,274589,73,true
7,true,219906,46,247072,37,true
8,true,173108,25,219906,53,true
8,true,247072,42,179251,38,true
8,true,274589,37,178756,19,true
8,true,276210,22,173181,53,true
8,true,276578,49,293899,37,true
9,true,247072,38,173108,44,true
9,true,274589,45,219906,24,true
9,true,276210,39,179251,62,true
9,true,276578,31,178756,49,true
9,true,293899,33,173181,60,true
10,true,274589,54,173108,63,true
10,true,276210,39,247072,28,true
10,true,276578,30,219906,40,true
10,true,293899,52,179251,21,true
10,true,173181,60,178756,36,true
11,false,173108,0,173181,0,false
11,false,178756,0,293899,0,false
11,false,179251,0,276578,0,false
11,false,219906,0,276210,0,false
11,false,247072,0,274589,0,false
12,false,276210,0,173108,0,false
12,false,276578,0,274589,0,false
12,false,293899,0,247072,0,false
12,false,173181,0,219906,0,false
12,false,178756,0,179251,0,false
13,false,173108,0,178756,0,false
13,false,179251,0,173181,0,false
13,false,219906,0,293899,0,false
13,false,247072,0,276578,0,false
13,false,274589,0,276210,0,false
14,false,276578,0,173108,0,false
14,false,293899,0,276210,0,false
14,false,173181,0,274589,0,false
14,false,178756,0,247072,0,false
14,false,179251,0,219906,0,false
15,false,173108,0,179251,0,false
15,false,219906,0,178756,0,false
15,false,247072,0,173181,0,false
15,false,274589,0,293899,0,false
15,false,276210,0,276578,0,false
16,false,293899,0,173108,0,false
16,false,173181,0,276578,0,false
16,false,178756,0,276210,0,false
16,false,179251,0,274589,0,false
16,false,219906,0,247072,0,false
17,false,173108,0,219906,0,false
17,false,247072,0,179251,0,false
17,false,274589,0,178756,0,false
17,false,276210,0,173181,0,false
17,false,276578,0,293899,0,false
18,false,247072,0,173108,0,false
18,false,274589,0,219906,0,false
18,false,276210,0,179251,0,false
18,false,276578,0,178756,0,false
18,false,293899,0,173181,0,false
19,false,274589,0,173108,0,false
19,false,276210,0,247072,0,false
19,false,276578,0,219906,0,false
19,false,293899,0,179251,0,false
19,false,173181,0,178756,0,false
20,false,173108,0,173181,0,false
20,false,178756,0,293899,0,false
20,false,179251,0,276578,0,false
20,false,219906,0,276210,0,false
20,false,247072,0,274589,0,false
21,false,276210,0,173108,0,false
21,false,276578,0,274589,0,false
21,false,293899,0,247072,0,false
21,false,173181,0,219906,0,false
21,false,178756,0,179251,0,false
22,false,173108,0,178756,0,false
22,false,179251,0,173181,0,false
22,false,219906,0,293899,0,false
22,false,247072,0,276578,0,false
22,false,274589,0,276210,0,false
23,false,276578,0,173108,0,false
23,false,293899,0,276210,0,false
23,false,173181,0,274589,0,false
23,false,178756,0,247072,0,false
23,false,179251,0,219906,0,false
24,false,173108,0,179251,0,false
24,false,219906,0,178756,0,false
24,false,247072,0,173181,0,false
24,false,274589,0,293899,0,false
24,false,276210,0,276578,0,false
25,false,293899,0,173108,0,false
25,false,173181,0,276578,0,false
25,false,178756,0,276210,0,false
25,false,179251,0,274589,0,false
25,false,219906,0,247072,0,false
26,false,173108,0,219906,0,false
26,false,247072,0,179251,0,false
26,false,274589,0,178756,0,false
26,false,276210,0,173181,0,false
26,false,276578,0,293899,0,false
27,false,247072,0,173108,0,false
27,false,274589,0,219906,0,false
27,false,276210,0,179251,0,false
27,false,276578,0,178756,0,false
27,false,293899,0,173181,0,false
28,false,274589,0,173108,0,false
28,false,276210,0,247072,0,false
28,false,276578,0,219906,0,false
28,false,293899,0,179251,0,false
28,false,173181,0,178756,0,false
29,false,173108,0,173181,0,false
29,false,178756,0,293899,0,false
29,false,179251,0,276578,0,false
29,false,219906,0,276210,0,false
29,false,247072,0,274589,0,false
30,false,276210,0,173108,0,false
30,false,276578,0,274589,0,false
30,false,293899,0,247072,0,false
30,false,173181,0,219906,0,false
30,false,178756,0,179251,0,false
31,false,173108,0,178756,0,false
31,false,179251,0,173181,0,false
31,false,219906,0,293899,0,false
31,false,247072,0,276578,0,false
31,false,274589,0,276210,0,false
32,false,276578,0,173108,0,false
32,false,293899,0,276210,0,false
32,false,173181,0,274589,0,false
32,false,178756,0,247072,0,false
32,false,179251,0,219906,0,false
33,false,173108,0,179251,0,false
33,false,219906,0,178756,0,false
33,false,247072,0,173181,0,false
33,false,274589,0,293899,0,false
33,false,276210,0,276578,0,false
34,false,293899,0,173108,0,false
34,false,173181,0,276578,0,false
34,false,178756,0,276210,0,false
34,false,179251,0,274589,0,false
34,false,219906,0,247072,0,false
35,false,173108,0,219906,0,false
35,false,247072,0,179251,0,false
35,false,274589,0,178756,0,false
35,false,276210,0,173181,0,false
35,false,276578,0,293899,0,false
36,false,247072,0,173108,0,false
36,false,274589,0,219906,0,false
36,false,276210,0,179251,0,false
36,false,276578,0,178756,0,false
36,false,293899,0,173181,0,false
37,false,274589,0,173108,0,false
37,false,276210,0,247072,0,false
37,false,276578,0,219906,0,false
37,false,293899,0,179251,0,false
37,false,173181,0,178756,0,false
38,false,173108,0,173181,0,false
38,false,178756,0,293899,0,false
38,false,179251,0,276578,0,false
38,false,219906,0,276210,0,false
38,false,247072,0,274589,0,false
